Sensorname,timestamp,distanceToWaterInMM,timestampInUTC
2SB,1781762445398,3361,2026-06-18T06:00:45.398Z
2SB,1781762447508,3358,2026-06-18T06:00:47.508Z
2SB,1781762449500,1446,2026-06-18T06:00:49.500Z
2SB,1781762451599,2654,2026-06-18T06:00:51.599Z
2SB,1781762453312,1205,2026-06-18T06:00:53.312Z
2SB,1781762455486,0,2026-06-18T06:00:55.486Z
2SB,1781762457395,3361,2026-06-18T06:00:57.395Z
2SB,1781762459588,1753,2026-06-18T06:00:59.588Z
2SB,1781762461591,3141,2026-06-18T06:01:01.591Z
2SB,1781762463399,3358,2026-06-18T06:01:03.399Z
2SB,1781762467498,1309,2026-06-18T06:01:07.498Z
2SB,1781762469586,2466,2026-06-18T06:01:09.586Z
2SB,1781762471674,3361,2026-06-18T06:01:11.674Z
2SB,1781762473387,3351,2026-06-18T06:01:13.387Z
2SB,1781762475482,3357,2026-06-18T06:01:15.482Z
2SB,1781762477589,3362,2026-06-18T06:01:17.589Z
2SB,1781762479585,3356,2026-06-18T06:01:19.585Z
2SB,1781762483490,2293,2026-06-18T06:01:23.490Z
2SB,1781762485589,1411,2026-06-18T06:01:25.589Z
2SB,1781762487588,2755,2026-06-18T06:01:27.588Z
2SB,1781762489670,975,2026-06-18T06:01:29.670Z
2SB,1781762491668,3355,2026-06-18T06:01:31.668Z
2SB,1781762493766,3357,2026-06-18T06:01:33.766Z
2SB,1781762495491,3353,2026-06-18T06:01:35.491Z
2SB,1781762497678,3352,2026-06-18T06:01:37.678Z
2SB,1781762499669,1669,2026-06-18T06:01:39.669Z
2SB,1781762501775,3351,2026-06-18T06:01:41.775Z
2SB,1781762503778,1124,2026-06-18T06:01:43.778Z
2SB,1781762505682,2384,2026-06-18T06:01:45.682Z
2SB,1781762507678,1585,2026-06-18T06:01:47.678Z
2SB,1781762509763,3352,2026-06-18T06:01:49.763Z
2SB,1781762511761,3353,2026-06-18T06:01:51.761Z
2SB,1781762513853,3353,2026-06-18T06:01:53.853Z
2SB,1781762515867,3355,2026-06-18T06:01:55.867Z
2SB,1781762517770,3350,2026-06-18T06:01:57.770Z
2SB,1781762519770,3355,2026-06-18T06:01:59.770Z
2SB,1781762521867,1357,2026-06-18T06:02:01.867Z
2SB,1781762523854,2936,2026-06-18T06:02:03.854Z
2SB,1781762527769,2595,2026-06-18T06:02:07.769Z
2SB,1781762529756,3342,2026-06-18T06:02:09.756Z
2SB,1781762531859,3342,2026-06-18T06:02:11.859Z
2SB,1781762533941,3346,2026-06-18T06:02:13.941Z
2SB,1781762535945,0,2026-06-18T06:02:15.945Z
2SB,1781762537757,1224,2026-06-18T06:02:17.757Z
2SB,1781762539848,0,2026-06-18T06:02:19.848Z
2SB,1781762541842,0,2026-06-18T06:02:21.842Z
2SB,1781762543937,1612,2026-06-18T06:02:23.937Z
2SB,1781762549852,1571,2026-06-18T06:02:29.852Z
2SB,1781762551944,306,2026-06-18T06:02:31.944Z
2SB,1781762553943,227,2026-06-18T06:02:33.943Z
2SB,1781762556034,260,2026-06-18T06:02:36.034Z
2SB,1781762557756,261,2026-06-18T06:02:37.756Z
2SB,1781762559936,260,2026-06-18T06:02:39.936Z
2SB,1781762561948,261,2026-06-18T06:02:41.948Z
2SB,1781762566032,261,2026-06-18T06:02:46.032Z
1SB,1781762566133,318,2026-06-18T06:02:46.133Z
1SB,1781762568089,175,2026-06-18T06:02:48.089Z
2SB,1781762568136,261,2026-06-18T06:02:48.136Z
2SB,1781762572033,261,2026-06-18T06:02:52.033Z
1SB,1781762572049,161,2026-06-18T06:02:52.049Z
2SB,1781762574029,261,2026-06-18T06:02:54.029Z
1SB,1781762576061,121,2026-06-18T06:02:56.061Z
2SB,1781762578123,261,2026-06-18T06:02:58.123Z
1SB,1781762578233,150,2026-06-18T06:02:58.233Z
2SB,1781762580024,261,2026-06-18T06:03:00.024Z
1SB,1781762580040,150,2026-06-18T06:03:00.040Z
1SB,1781762582020,151,2026-06-18T06:03:02.020Z
2SB,1781762582036,261,2026-06-18T06:03:02.036Z
2SB,1781762584036,261,2026-06-18T06:03:04.036Z
2SB,1781762586116,261,2026-06-18T06:03:06.116Z
2SB,1781762588215,260,2026-06-18T06:03:08.215Z
2SB,1781762592034,260,2026-06-18T06:03:12.034Z
2SB,1781762594126,261,2026-06-18T06:03:14.126Z
2SB,1781762596126,260,2026-06-18T06:03:16.126Z
1SB,1781762596142,87,2026-06-18T06:03:16.142Z
2SB,1781762598221,260,2026-06-18T06:03:18.221Z
1SB,1781762598332,93,2026-06-18T06:03:18.332Z
1SB,1781762600207,101,2026-06-18T06:03:20.207Z
2SB,1781762600221,260,2026-06-18T06:03:20.221Z
1BB,1781762600272,133,2026-06-18T06:03:20.272Z
1BB,1781762602088,132,2026-06-18T06:03:22.088Z
1SB,1781762602103,159,2026-06-18T06:03:22.103Z
2SB,1781762602119,260,2026-06-18T06:03:22.119Z
1BB,1781762606168,379,2026-06-18T06:03:26.168Z
1SB,1781762606184,94,2026-06-18T06:03:26.184Z
2SB,1781762606216,260,2026-06-18T06:03:26.216Z
2SB,1781762608218,260,2026-06-18T06:03:28.218Z
1SB,1781762608268,92,2026-06-18T06:03:28.268Z
1SB,1781762610253,93,2026-06-18T06:03:30.253Z
2SB,1781762610316,260,2026-06-18T06:03:30.316Z
2SB,1781762612691,261,2026-06-18T06:03:32.691Z
1SB,1781762612725,92,2026-06-18T06:03:32.725Z
2SB,1781762620879,260,2026-06-18T06:03:40.879Z
1BB,1781762622724,403,2026-06-18T06:03:42.724Z
1SB,1781762622756,224,2026-06-18T06:03:42.756Z
2SB,1781762622772,260,2026-06-18T06:03:42.772Z
2SB,1781762623547,260,2026-06-18T06:03:43.547Z
1BB,1781762623597,415,2026-06-18T06:03:43.597Z
1SB,1781762623621,113,2026-06-18T06:03:43.621Z
1SB,1781762625411,229,2026-06-18T06:03:45.411Z
2SB,1781762625442,260,2026-06-18T06:03:45.442Z
2BB,1781762627630,27,2026-06-18T06:03:47.630Z
2SB,1781762627725,261,2026-06-18T06:03:47.725Z
2SB,1781762631354,261,2026-06-18T06:03:51.354Z
2BB,1781762631354,18,2026-06-18T06:03:51.354Z
1SB,1781762631386,229,2026-06-18T06:03:51.386Z
2SB,1781762633444,261,2026-06-18T06:03:53.444Z
2BB,1781762633481,17,2026-06-18T06:03:53.481Z
1SB,1781762633482,229,2026-06-18T06:03:53.482Z
2SB,1781762634405,260,2026-06-18T06:03:54.405Z
2BB,1781762634407,17,2026-06-18T06:03:54.407Z
1SB,1781762634411,233,2026-06-18T06:03:54.411Z
2BB,1781762636212,17,2026-06-18T06:03:56.212Z
2SB,1781762636307,261,2026-06-18T06:03:56.307Z
1SB,1781762636357,233,2026-06-18T06:03:56.357Z
2BB,1781762638715,320,2026-06-18T06:03:58.715Z
2SB,1781762638776,261,2026-06-18T06:03:58.776Z
1SB,1781762638792,233,2026-06-18T06:03:58.792Z
1SB,1781762640350,229,2026-06-18T06:04:00.350Z
2SB,1781762640401,265,2026-06-18T06:04:00.401Z
2BB,1781762640426,27,2026-06-18T06:04:00.426Z
2BB,1781762642439,149,2026-06-18T06:04:02.439Z
1SB,1781762642478,229,2026-06-18T06:04:02.478Z
2SB,1781762642498,260,2026-06-18T06:04:02.498Z
1SB,1781762645033,229,2026-06-18T06:04:05.033Z
2SB,1781762645072,260,2026-06-18T06:04:05.072Z
2BB,1781762645116,144,2026-06-18T06:04:05.116Z
2BB,1781762646441,133,2026-06-18T06:04:06.441Z
1SB,1781762646457,233,2026-06-18T06:04:06.457Z
2SB,1781762646489,261,2026-06-18T06:04:06.489Z
2BB,1781762648270,125,2026-06-18T06:04:08.270Z
1SB,1781762648348,238,2026-06-18T06:04:08.348Z
2SB,1781762648408,261,2026-06-18T06:04:08.408Z
1BB,1781762649613,411,2026-06-18T06:04:09.613Z
1SB,1781762652602,233,2026-06-18T06:04:12.602Z
2BB,1781762652666,137,2026-06-18T06:04:12.666Z
2SB,1781762652681,260,2026-06-18T06:04:12.681Z
1BB,1781762652839,416,2026-06-18T06:04:12.839Z
2BB,1781762654477,262,2026-06-18T06:04:14.477Z
1SB,1781762654510,229,2026-06-18T06:04:14.510Z
2SB,1781762654588,260,2026-06-18T06:04:14.588Z
2BB,1781762656295,0,2026-06-18T06:04:16.295Z
2SB,1781762656295,261,2026-06-18T06:04:16.295Z
1SB,1781762656405,233,2026-06-18T06:04:16.405Z
1BB,1781762658345,416,2026-06-18T06:04:18.345Z
1SB,1781762658385,229,2026-06-18T06:04:18.385Z
2SB,1781762658385,261,2026-06-18T06:04:18.385Z
2BB,1781762658591,-1,2026-06-18T06:04:18.591Z
2BB,1781762660411,569,2026-06-18T06:04:20.411Z
1SB,1781762660475,233,2026-06-18T06:04:20.475Z
2SB,1781762660475,265,2026-06-18T06:04:20.475Z
1SB,1781762662467,229,2026-06-18T06:04:22.467Z
2SB,1781762662484,260,2026-06-18T06:04:22.484Z
2BB,1781762662515,0,2026-06-18T06:04:22.515Z
1BB,1781762662533,420,2026-06-18T06:04:22.533Z
2SB,1781762665907,260,2026-06-18T06:04:25.907Z
2BB,1781762665955,868,2026-06-18T06:04:25.955Z
1BB,1781762665955,420,2026-06-18T06:04:25.955Z
1SB,1781762665971,229,2026-06-18T06:04:25.971Z
1SB,1781762668809,229,2026-06-18T06:04:28.809Z
2BB,1781762668825,325,2026-06-18T06:04:28.825Z
2SB,1781762668857,260,2026-06-18T06:04:28.857Z
1SB,1781762671083,184,2026-06-18T06:04:31.083Z
2BB,1781762671115,442,2026-06-18T06:04:31.115Z
2SB,1781762671147,260,2026-06-18T06:04:31.147Z
2BB,1781762672080,670,2026-06-18T06:04:32.080Z
2SB,1781762672107,260,2026-06-18T06:04:32.107Z
1SB,1781762672126,229,2026-06-18T06:04:32.126Z
2BB,1781762674757,935,2026-06-18T06:04:34.757Z
2SB,1781762674775,261,2026-06-18T06:04:34.775Z
1SB,1781762674792,225,2026-06-18T06:04:34.792Z
1BB,1781762676816,425,2026-06-18T06:04:36.816Z
2BB,1781762676859,1016,2026-06-18T06:04:36.859Z
2SB,1781762676863,265,2026-06-18T06:04:36.863Z
1SB,1781762676871,229,2026-06-18T06:04:36.871Z
2BB,1781762682691,0,2026-06-18T06:04:42.691Z
1SB,1781762682739,233,2026-06-18T06:04:42.739Z
2SB,1781762682771,261,2026-06-18T06:04:42.771Z
1BB,1781762682814,420,2026-06-18T06:04:42.814Z
1SB,1781762685391,238,2026-06-18T06:04:45.391Z
2SB,1781762685439,261,2026-06-18T06:04:45.439Z
2BB,1781762685467,1193,2026-06-18T06:04:45.467Z
1BB,1781762685470,421,2026-06-18T06:04:45.470Z
2BB,1781762687181,0,2026-06-18T06:04:47.181Z
1BB,1781762687181,421,2026-06-18T06:04:47.181Z
1SB,1781762687295,229,2026-06-18T06:04:47.295Z
2SB,1781762687345,261,2026-06-18T06:04:47.345Z
2SB,1781762688867,261,2026-06-18T06:04:48.867Z
1SB,1781762688894,233,2026-06-18T06:04:48.894Z
2BB,1781762688894,0,2026-06-18T06:04:48.894Z
2SB,1781762691145,260,2026-06-18T06:04:51.145Z
2BB,1781762691207,0,2026-06-18T06:04:51.207Z
1SB,1781762691207,229,2026-06-18T06:04:51.207Z
2BB,1781762692928,0,2026-06-18T06:04:52.928Z
2SB,1781762693056,261,2026-06-18T06:04:53.056Z
1SB,1781762693071,229,2026-06-18T06:04:53.071Z
2SB,1781762694390,260,2026-06-18T06:04:54.390Z
1SB,1781762694390,229,2026-06-18T06:04:54.390Z
2BB,1781762694451,5581,2026-06-18T06:04:54.451Z
1SB,1781762697241,229,2026-06-18T06:04:57.241Z
2BB,1781762697322,3236,2026-06-18T06:04:57.322Z
2SB,1781762697347,260,2026-06-18T06:04:57.347Z
1BB,1781762699568,421,2026-06-18T06:04:59.568Z
1SB,1781762699611,229,2026-06-18T06:04:59.611Z
2BB,1781762699611,1425,2026-06-18T06:04:59.611Z
2SB,1781762699611,260,2026-06-18T06:04:59.611Z
2SB,1781762703229,261,2026-06-18T06:05:03.229Z
2BB,1781762703245,0,2026-06-18T06:05:03.245Z
1SB,1781762703292,225,2026-06-18T06:05:03.292Z
2BB,1781762705054,0,2026-06-18T06:05:05.054Z
1BB,1781762705086,425,2026-06-18T06:05:05.086Z
1SB,1781762705106,233,2026-06-18T06:05:05.106Z
2SB,1781762705134,261,2026-06-18T06:05:05.134Z
2SB,1781762706862,261,2026-06-18T06:05:06.862Z
2BB,1781762706878,0,2026-06-18T06:05:06.878Z
1BB,1781762706905,313,2026-06-18T06:05:06.905Z
1SB,1781762706990,183,2026-06-18T06:05:06.990Z
1SB,1781762708976,229,2026-06-18T06:05:08.976Z
1BB,1781762709001,420,2026-06-18T06:05:09.001Z
2SB,1781762709041,261,2026-06-18T06:05:09.041Z
2BB,1781762709074,0,2026-06-18T06:05:09.074Z
2SB,1781762711616,261,2026-06-18T06:05:11.616Z
1SB,1781762711626,233,2026-06-18T06:05:11.626Z
2BB,1781762711658,0,2026-06-18T06:05:11.658Z
1BB,1781762711658,421,2026-06-18T06:05:11.658Z
2SB,1781762715227,261,2026-06-18T06:05:15.227Z
1BB,1781762715275,416,2026-06-18T06:05:15.275Z
2BB,1781762715294,0,2026-06-18T06:05:15.294Z
1SB,1781762715322,233,2026-06-18T06:05:15.322Z
1BB,1781762717087,416,2026-06-18T06:05:17.087Z
2BB,1781762717103,5588,2026-06-18T06:05:17.103Z
1SB,1781762717213,229,2026-06-18T06:05:17.213Z
2SB,1781762717229,260,2026-06-18T06:05:17.229Z
1SB,1781762718725,233,2026-06-18T06:05:18.725Z
2BB,1781762718742,4244,2026-06-18T06:05:18.742Z
2SB,1781762718757,260,2026-06-18T06:05:18.757Z
1BB,1781762718808,420,2026-06-18T06:05:18.808Z
2SB,1781762721237,260,2026-06-18T06:05:21.237Z
1BB,1781762721283,416,2026-06-18T06:05:21.283Z
1SB,1781762721285,237,2026-06-18T06:05:21.285Z
2BB,1781762721322,2141,2026-06-18T06:05:21.322Z
2BB,1781762723239,652,2026-06-18T06:05:23.239Z
2SB,1781762723320,260,2026-06-18T06:05:23.320Z
1SB,1781762723368,229,2026-06-18T06:05:23.368Z
1BB,1781762723368,0,2026-06-18T06:05:23.368Z
2BB,1781762727150,0,2026-06-18T06:05:27.150Z
1BB,1781762727182,421,2026-06-18T06:05:27.182Z
2SB,1781762727230,260,2026-06-18T06:05:27.230Z
1SB,1781762727246,238,2026-06-18T06:05:27.246Z
1SB,1781762729233,233,2026-06-18T06:05:29.233Z
2SB,1781762729329,260,2026-06-18T06:05:29.329Z
2BB,1781762729439,-1,2026-06-18T06:05:29.439Z
2BB,1781762733261,0,2026-06-18T06:05:33.261Z
1SB,1781762733309,233,2026-06-18T06:05:33.309Z
1BB,1781762733375,420,2026-06-18T06:05:33.375Z
2SB,1781762733421,260,2026-06-18T06:05:33.421Z
1SB,1781762735767,233,2026-06-18T06:05:35.767Z
2SB,1781762735799,260,2026-06-18T06:05:35.799Z
2BB,1781762735847,0,2026-06-18T06:05:35.847Z
1SB,1781762737387,233,2026-06-18T06:05:37.387Z
2BB,1781762737387,0,2026-06-18T06:05:37.387Z
2SB,1781762737419,260,2026-06-18T06:05:37.419Z
2BB,1781762739194,5249,2026-06-18T06:05:39.194Z
2SB,1781762739224,260,2026-06-18T06:05:39.224Z
1SB,1781762739290,237,2026-06-18T06:05:39.290Z
2SB,1781762741047,260,2026-06-18T06:05:41.047Z
2BB,1781762741113,3953,2026-06-18T06:05:41.113Z
1SB,1781762741172,228,2026-06-18T06:05:41.172Z
2SB,1781762741892,260,2026-06-18T06:05:41.892Z
1SB,1781762741928,228,2026-06-18T06:05:41.928Z
1BB,1781762741928,420,2026-06-18T06:05:41.928Z
2BB,1781762741971,3409,2026-06-18T06:05:41.971Z
2SB,1781762743508,260,2026-06-18T06:05:43.508Z
1SB,1781762743545,228,2026-06-18T06:05:43.545Z
2BB,1781762743603,2409,2026-06-18T06:05:43.603Z
2SB,1781762744937,260,2026-06-18T06:05:44.937Z
1SB,1781762744953,233,2026-06-18T06:05:44.953Z
2BB,1781762745032,1469,2026-06-18T06:05:45.032Z
2BB,1781762746845,0,2026-06-18T06:05:46.845Z
1SB,1781762746854,233,2026-06-18T06:05:46.854Z
2SB,1781762746949,261,2026-06-18T06:05:46.949Z
1SB,1781762748946,233,2026-06-18T06:05:48.946Z
2SB,1781762748948,261,2026-06-18T06:05:48.948Z
2BB,1781762749139,-1,2026-06-18T06:05:49.139Z
2SB,1781762750949,261,2026-06-18T06:05:50.949Z
2BB,1781762750964,0,2026-06-18T06:05:50.964Z
1SB,1781762751024,233,2026-06-18T06:05:51.024Z
2BB,1781762752781,0,2026-06-18T06:05:52.781Z
1SB,1781762752828,224,2026-06-18T06:05:52.828Z
2SB,1781762752845,261,2026-06-18T06:05:52.845Z
2SB,1781762755035,261,2026-06-18T06:05:55.035Z
2BB,1781762755067,0,2026-06-18T06:05:55.067Z
1SB,1781762755099,229,2026-06-18T06:05:55.099Z
2BB,1781762756876,0,2026-06-18T06:05:56.876Z
1SB,1781762756892,228,2026-06-18T06:05:56.892Z
2SB,1781762756940,261,2026-06-18T06:05:56.940Z
2SB,1781762758945,261,2026-06-18T06:05:58.945Z
1SB,1781762758970,228,2026-06-18T06:05:58.970Z
2BB,1781762759182,-1,2026-06-18T06:05:59.182Z
2BB,1781762761001,0,2026-06-18T06:06:01.001Z
2SB,1781762761033,261,2026-06-18T06:06:01.033Z
